Store,Date,Forecasted_Sales
31,2012-12-28,1336125.3911678372
31,2013-01-04,1388850.475393304
31,2013-01-11,1379404.8404625952
31,2013-01-18,1374669.825082512
32,2012-11-02,1237110.180584904
32,2012-11-09,1213749.2157842861
32,2012-11-16,1212505.6779495599
32,2012-11-23,1715565.3113679166
32,2012-11-30,1210039.5841026255
32,2012-12-07,1446696.1255731604
32,2012-12-14,1586527.0443389332
32,2012-12-21,1990200.2329705174
32,2012-12-28,1134509.641499905
32,2013-01-04,1131033.2519867986
32,2013-01-11,1102578.939851379
32,2013-01-18,1110525.902391242
33,2012-11-02,254421.78533165465
33,2012-11-09,289084.26876770874
33,2012-11-16,267587.9771360635
33,2012-11-23,272465.4165712097
33,2012-11-30,236577.68430555912
33,2012-12-07,286792.40992808953
33,2012-12-14,275951.99345661345
33,2012-12-21,272815.36069386936
33,2012-12-28,232100.5518804633
33,2013-01-04,283269.5185137299
33,2013-01-11,295718.2451341478
33,2013-01-18,261511.0737632123
34,2012-11-02,1027806.5907988072
34,2012-11-09,1024642.8475085206
34,2012-11-16,981628.1116918965
34,2012-11-23,1377351.3075260278
34,2012-11-30,1022917.0120124555
34,2012-12-07,1117873.700764262
34,2012-12-14,1187412.5082498915
34,2012-12-21,1627457.1281643626
34,2012-12-28,996778.7611733512
34,2013-01-04,985515.9256871707
34,2013-01-11,946944.7216536608
34,2013-01-18,943904.9988414334
35,2012-11-02,763742.7856278947
35,2012-11-09,907373.7255993198
35,2012-11-16,866494.0443363818
35,2012-11-23,1600390.6761476973
35,2012-11-30,942879.2884138767
35,2012-12-07,994746.5194484218
35,2012-12-14,1135427.7555759589
35,2012-12-21,1488706.2405394698
35,2012-12-28,864748.880470483
35,2013-01-04,737807.6625272086
35,2013-01-11,717023.0684025114
35,2013-01-18,738692.6879194928
36,2012-11-02,277674.573696131
36,2012-11-09,285377.45095073216
36,2012-11-16,286364.36450926226
36,2012-11-23,286059.62990825484
36,2012-11-30,265701.4966021994
36,2012-12-07,276867.0302563485
36,2012-12-14,289931.80239956226
36,2012-12-21,283653.38109356066
36,2012-12-28,263040.9206632583
36,2013-01-04,282886.4473694904
36,2013-01-11,283055.64062555815
36,2013-01-18,284137.1747589726
37,2012-11-02,565873.511008922
37,2012-11-09,510753.3277072325
37,2012-11-16,536992.5453701436
37,2012-11-23,532012.1292087504
37,2012-11-30,536573.5474413382
37,2012-12-07,546661.6246465972
37,2012-12-14,543252.8754555396
37,2012-12-21,615168.0170075074
37,2012-12-28,460540.44237298117
37,2013-01-04,567574.3724318984
37,2013-01-11,555394.0352679201
37,2013-01-18,552987.8120296686
38,2012-11-02,469573.22183836414
38,2012-11-09,444368.23943816876
38,2012-11-16,426004.1588802881
38,2012-11-23,428060.18423861754
38,2012-11-30,444692.94452218694
38,2012-12-07,468106.84986936906
38,2012-12-14,437425.11258300004
38,2012-12-21,453361.36449231853
38,2012-12-28,377036.23421280953
38,2013-01-04,510551.40226266906
38,2013-01-11,456344.1311840628
38,2013-01-18,438457.98006382555
39,2012-11-02,1593152.3062305534
39,2012-11-09,1570134.775786904
39,2012-11-16,1622531.6163991492
39,2012-11-23,2193715.3484675507
39,2012-11-30,1679200.0368783632
39,2012-12-07,1812067.1386623278
39,2012-12-14,1964300.5436711097
39,2012-12-21,2416398.3761646673
39,2012-12-28,1555462.0555981663
39,2013-01-04,1540487.8764501903
39,2013-01-11,1501854.3526082428
39,2013-01-18,1532933.3055169475
40,2012-11-02,1039178.817539734
40,2012-11-09,1053868.937164159
40,2012-11-16,923522.9595390183
40,2012-11-23,1247646.8820461284
40,2012-11-30,1077331.0911173096
40,2012-12-07,1175861.5422668974
40,2012-12-14,1214736.0300804721
40,2012-12-21,1615182.9316806765
40,2012-12-28,927908.4682188691
40,2013-01-04,972136.9644938622
40,2013-01-11,795954.6130021948
40,2013-01-18,828296.7448057464
41,2012-11-02,1423462.0009470263
41,2012-11-09,1406258.6922612346
41,2012-11-16,1333760.0907624827
41,2012-11-23,2010269.6799360213
41,2012-11-30,1396138.9504279792
41,2012-12-07,1652578.4056546092
41,2012-12-14,1785991.8116880422
41,2012-12-21,2367282.538572744
41,2012-12-28,1368667.3374430663
41,2013-01-04,1311803.2920632337
41,2013-01-11,1238515.0988565015
41,2013-01-18,1219772.643504158
42,2012-11-02,585918.6434085685
42,2012-11-09,636853.0932371017
42,2012-11-16,571558.6091733461
42,2012-11-23,585504.1429566309
42,2012-11-30,504837.438760193
42,2012-12-07,598585.4932098197
42,2012-12-14,598769.9921452489
42,2012-12-21,552324.9066969169
42,2012-12-28,461550.7265839687
42,2013-01-04,608103.8156594975
42,2013-01-11,630984.0337752331
42,2013-01-18,560889.9736456799
43,2012-11-02,618341.0869219373
43,2012-11-09,602797.5306855044
43,2012-11-16,606817.4034588833
43,2012-11-23,638649.6532128634
43,2012-11-30,577757.2048806469
43,2012-12-07,604919.957661061
43,2012-12-14,631122.6074228272
43,2012-12-21,648704.0369209525
43,2012-12-28,535444.0822024117
43,2013-01-04,632463.8559590317
43,2013-01-11,630153.1349447243
43,2013-01-18,606169.0316233032
44,2012-11-02,335494.4141509891
44,2012-11-09,346542.78664206533
44,2012-11-16,343861.678959636
44,2012-11-23,344995.43599392095
44,2012-11-30,319007.6980026912
44,2012-12-07,337516.2475360306
44,2012-12-14,343244.04633265623
44,2012-12-21,407763.6161082148
44,2012-12-28,297982.7927962599
44,2013-01-04,355347.15591163
44,2013-01-11,343996.2031612621
44,2013-01-18,345795.801511902
45,2012-11-02,751429.5623049368
45,2012-11-09,763692.0733004991
45,2012-11-16,736363.0136302423
45,2012-11-23,978957.0592544642
45,2012-11-30,818262.1750333635
45,2012-12-07,882625.0707958994
45,2012-12-14,946201.7452908036
45,2012-12-21,1237964.3952014986
45,2012-12-28,718359.4025456628
45,2013-01-04,714592.4162993571
45,2013-01-11,700371.3883973797
45,2013-01-18,696074.8842621857
